ProgramId,State,ImplementingSectorId,ImplementingSectorName,CategoryId,CategoryName,TypeId,TypeName,Name,EarliestEnactedDate,Sector_4,Sector_11,Sector_3,Sector_22,Sector_21,Sector_36,Sector_23,Sector_1,Sector_17,Sector_5,Sector_2,Sector_34,Sector_15,Sector_24,Sector_14,Sector_10,Sector_35,Sector_37,Sector_9,Sector_6,Sector_20,Sector_8,Sector_25,Sector_16,Tech_15,Tech_29,Tech_6,Tech_13,Tech_12,Tech_10,Tech_9,Tech_8,Tech_3,Tech_14,Tech_30,Tech_11,Tech_1,Tech_4,Tech_7,Tech_2,Tech_5
1,ND,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,North Dakota Solar/Wind Easements and Laws,1977/10/05,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,AZ,1,State,1,Financial Incentive,32,Personal Tax Deduction,Qualifying Wood Stove Deduction,1994/01/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,MD,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Maryland Solar Easements & Rights Laws,1980/07/01,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,OR,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Oregon Solar and Wind Easements/Rights Laws & Local Option Solar Rights Law,1979/10/05,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,AK,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Alaska Solar Easements,1980/10/05,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,ID,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Idaho Solar Easements & Access Laws,2019/07/01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,KS,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Kansas Solar Easement Laws,,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,GA,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Georgia Solar Easement Laws,1978/10/05,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,KY,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Kentucky Solar Easements Laws,1982/07/15,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,RI,1,State,2,Regulatory Policy,44,Solar/Wind Access Policy,Rhode Island Solar Easement Laws,1981/10/05,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
