id,entireState,code,name,lastUpdated,dateCreated,state_id,state_name,state_abbreviation,state_is_territory,type_id,type_name,category_id,category_name,sector_id,sector_name
5888,True,WA100F,Energy Efficiency and Solar Grants,09/27/2023,08/25/2016,55,Washington,WA,False,87,Grant Program,1,Financial Incentive,1,State
21863,True,NY24R,Energy Efficiency Resource Standard,09/27/2023,02/22/2017,37,New York,NY,False,84,Energy Efficiency Resource Standard,2,Regulatory Policy,1,State
3241,False,IA49F,Ames Electric Department - Residential Energy Efficiency Rebate Programs,09/26/2023,01/30/2009,19,Iowa,IA,False,88,Rebate Program,1,Financial Incentive,3,Utility
22206,True,NY100F,VW Funding for Diesel Replacement and EVSE Projects,09/26/2023,06/10/2021,37,New York,NY,False,87,Grant Program,1,Financial Incentive,1,State
22,False,OH01R,Ohio Solar Easement and Access Laws,09/22/2023,01/01/2000,40,Ohio,OH,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
434,False,WI06R,City of Madison - Solar and Wind Access and Planning Laws,09/22/2023,01/01/2000,57,Wisconsin,WI,False,44,Solar/Wind Access Policy,2,Regulatory Policy,2,Local
5917,True,IL24R,City of Chicago - Solar Zoning Policy,09/22/2023,09/27/2016,17,Illinois,IL,False,44,Solar/Wind Access Policy,2,Regulatory Policy,2,Local
4296,True,IL18R,Illinois Solar and Wind Rights,09/22/2023,08/18/2010,17,Illinois,IL,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
11,True,KY01R,Kentucky Solar Easements Laws,09/22/2023,01/01/2000,21,Kentucky,KY,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
20,True,MO01R,Missouri Solar Easements & Rights Laws,09/22/2023,01/01/2000,29,Missouri,MO,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
257,True,IN02R,Indiana Solar Easements & Rights Laws,09/22/2023,01/01/2000,18,Indiana,IN,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
313,True,WI04R,Wisconsin Solar and Wind Rights,09/22/2023,01/01/2000,57,Wisconsin,WI,False,44,Solar/Wind Access Policy,2,Regulatory Policy,1,State
22363,True,WI100F,Madison Gas & Electric - Electric Vehicle Charger Leasing Program,09/21/2023,08/20/2021,57,Wisconsin,WI,False,80,Leasing Program,1,Financial Incentive,3,Utility
22545,True,WI100F,Madison Gas & Electric - Charge Ahead Program,09/21/2023,09/21/2023,57,Wisconsin,WI,False,13,Performance-Based Incentive,1,Financial Incentive,3,Utility
5324,True,ME24F,Efficiency Maine Appliance Rebate Program,09/19/2023,10/15/2012,23,Maine,ME,False,88,Rebate Program,1,Financial Incentive,1,State
22046,True,ME28F,Efficiency Maine - Home Energy Loans,09/19/2023,01/02/2018,23,Maine,ME,False,89,Loan Program,1,Financial Incentive,1,State
5442,True,ME27F,Efficiency Maine Residential Home Energy Savings Program,09/19/2023,09/30/2013,23,Maine,ME,False,88,Rebate Program,1,Financial Incentive,1,State
5672,True,IN91F,NIPSCO - Feed-In Tariff,09/19/2023,02/05/2015,18,Indiana,IN,False,92,Feed-in Tariff,1,Financial Incentive,3,Utility
2628,False,MO70F,Columbia Water & Light - Solar Rebates,09/19/2023,07/12/2007,29,Missouri,MO,False,88,Rebate Program,1,Financial Incentive,3,Utility
5774,True,MO100F,Liberty Utilities - Solar PV Rebates,09/19/2023,05/18/2015,29,Missouri,MO,False,88,Rebate Program,1,Financial Incentive,3,Utility
22143,True,MO100F,Evergy Solar Rebate Program,09/19/2023,03/12/2021,29,Missouri,MO,False,88,Rebate Program,1,Financial Incentive,3,Utility
