YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1990,AK,Total Electric Power Industry,Total,"5,599,506"
1990,AK,Total Electric Power Industry,Coal,"510,573"
1990,AK,Total Electric Power Industry,Hydroelectric Conventional,"974,521"
1990,AK,Total Electric Power Industry,Natural Gas,"3,466,261"
1990,AK,Total Electric Power Industry,Petroleum,"497,116"
1990,AK,Total Electric Power Industry,Wind,0
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,"151,035"
1990,AL,Total Electric Power Industry,Total,"79,652,133"
1990,AL,Total Electric Power Industry,Coal,"53,658,115"
1990,AL,Total Electric Power Industry,Hydroelectric Conventional,"10,366,507"
1990,AL,Total Electric Power Industry,Natural Gas,"1,020,714"
1990,AL,Total Electric Power Industry,Nuclear,"12,051,882"
1990,AL,Total Electric Power Industry,Other Biomass,"47,503"
1990,AL,Total Electric Power Industry,Other Gases,"269,476"
1990,AL,Total Electric Power Industry,Petroleum,"138,089"
1990,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,099,847"
1990,AR,Total Electric Power Industry,Total,"39,099,598"
1990,AR,Total Electric Power Industry,Coal,"19,207,935"
1990,AR,Total Electric Power Industry,Hydroelectric Conventional,"3,654,653"
1990,AR,Total Electric Power Industry,Natural Gas,"3,578,573"
1990,AR,Total Electric Power Industry,Nuclear,"11,282,053"
1990,AR,Total Electric Power Industry,Other Biomass,"15,389"
1990,AR,Total Electric Power Industry,Petroleum,"79,979"
1990,AR,Total Electric Power Industry,Pumped Storage,"42,972"
1990,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,238,044"
1990,AZ,Total Electric Power Industry,Total,"62,774,297"
1990,AZ,Total Electric Power Industry,Coal,"31,915,610"
1990,AZ,Total Electric Power Industry,Hydroelectric Conventional,"7,417,576"
1990,AZ,Total Electric Power Industry,Natural Gas,"2,333,900"
1990,AZ,Total Electric Power Industry,Nuclear,"20,597,689"
1990,AZ,Total Electric Power Industry,Petroleum,"151,867"
1990,AZ,Total Electric Power Industry,Pumped Storage,"249,767"
1990,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"107,888"
1990,CA,Total Electric Power Industry,Total,"165,784,909"
1990,CA,Total Electric Power Industry,Coal,"2,637,677"
1990,CA,Total Electric Power Industry,Geothermal,"14,521,254"
1990,CA,Total Electric Power Industry,Hydroelectric Conventional,"23,792,567"
1990,CA,Total Electric Power Industry,Natural Gas,"74,168,308"
1990,CA,Total Electric Power Industry,Nuclear,"32,692,807"
1990,CA,Total Electric Power Industry,Other,0
1990,CA,Total Electric Power Industry,Other Biomass,"2,117,915"
1990,CA,Total Electric Power Industry,Other Gases,"2,146,742"
1990,CA,Total Electric Power Industry,Petroleum,"5,473,852"
1990,CA,Total Electric Power Industry,Pumped Storage,"986,252"
1990,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"366,668"
1990,CA,Total Electric Power Industry,Wind,"2,758,881"
1990,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"4,121,986"
1990,CO,Total Electric Power Industry,Total,"32,548,127"
1990,CO,Total Electric Power Industry,Coal,"29,814,983"
1990,CO,Total Electric Power Industry,Hydroelectric Conventional,"1,419,870"
1990,CO,Total Electric Power Industry,Natural Gas,"1,290,092"
1990,CO,Total Electric Power Industry,Other Biomass,"28,990"
1990,CO,Total Electric Power Industry,Petroleum,"27,390"
1990,CO,Total Electric Power Industry,Pumped Storage,"-33,198"
1990,CT,Total Electric Power Industry,Total,"35,147,247"
1990,CT,Total Electric Power Industry,Coal,"3,594,645"
1990,CT,Total Electric Power Industry,Hydroelectric Conventional,"570,619"
1990,CT,Total Electric Power Industry,Natural Gas,"1,251,479"
1990,CT,Total Electric Power Industry,Nuclear,"19,776,250"
1990,CT,Total Electric Power Industry,Other,0
1990,CT,Total Electric Power Industry,Other Biomass,"1,073,310"
1990,CT,Total Electric Power Industry,Other Gases,4
1990,CT,Total Electric Power Industry,Petroleum,"8,874,466"
1990,CT,Total Electric Power Industry,Pumped Storage,"6,474"
1990,DC,Total Electric Power Industry,Total,"361,043"
1990,DC,Total Electric Power Industry,Coal,0
1990,DC,Total Electric Power Industry,Petroleum,"361,043"
1990,DE,Total Electric Power Industry,Total,"7,841,500"
1990,DE,Total Electric Power Industry,Coal,"5,113,479"
1990,DE,Total Electric Power Industry,Natural Gas,"763,019"
1990,DE,Total Electric Power Industry,Other,"6,315"
1990,DE,Total Electric Power Industry,Other Gases,"164,881"
1990,DE,Total Electric Power Industry,Petroleum,"1,793,806"
1990,FL,Total Electric Power Industry,Total,"131,502,553"
1990,FL,Total Electric Power Industry,Coal,"60,100,257"
1990,FL,Total Electric Power Industry,Hydroelectric Conventional,"174,604"
1990,FL,Total Electric Power Industry,Natural Gas,"18,642,683"
1990,FL,Total Electric Power Industry,Nuclear,"21,779,560"
1990,FL,Total Electric Power Industry,Other,"1,453,102"
1990,FL,Total Electric Power Industry,Other Biomass,"1,673,078"
1990,FL,Total Electric Power Industry,Petroleum,"25,535,138"
1990,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,144,131"
1990,GA,Total Electric Power Industry,Total,"102,686,240"
1990,GA,Total Electric Power Industry,Coal,"68,545,692"
1990,GA,Total Electric Power Industry,Hydroelectric Conventional,"4,589,117"
1990,GA,Total Electric Power Industry,Natural Gas,"830,180"
1990,GA,Total Electric Power Industry,Nuclear,"24,796,884"
1990,GA,Total Electric Power Industry,Other,1
1990,GA,Total Electric Power Industry,Other Biomass,"135,457"
1990,GA,Total Electric Power Industry,Petroleum,"499,480"
1990,GA,Total Electric Power Industry,Pumped Storage,"342,110"
1990,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,947,319"
1990,HI,Total Electric Power Industry,Total,"9,702,752"
1990,HI,Total Electric Power Industry,Coal,"2,381"
1990,HI,Total Electric Power Industry,Geothermal,0
1990,HI,Total Electric Power Industry,Hydroelectric Conventional,"79,516"
1990,HI,Total Electric Power Industry,Other Biomass,"840,005"
1990,HI,Total Electric Power Industry,Other Gases,"16,163"
1990,HI,Total Electric Power Industry,Petroleum,"8,735,862"
1990,HI,Total Electric Power Industry,Wind,"28,825"
1990,IA,Total Electric Power Industry,Total,"30,044,506"
1990,IA,Total Electric Power Industry,Coal,"25,751,941"
1990,IA,Total Electric Power Industry,Hydroelectric Conventional,"875,114"
1990,IA,Total Electric Power Industry,Natural Gas,"333,390"
1990,IA,Total Electric Power Industry,Nuclear,"3,011,572"
1990,IA,Total Electric Power Industry,Other Biomass,"18,018"
1990,IA,Total Electric Power Industry,Petroleum,"54,471"
1990,ID,Total Electric Power Industry,Total,"9,691,475"
1990,ID,Total Electric Power Industry,Coal,"44,371"
1990,ID,Total Electric Power Industry,Hydroelectric Conventional,"9,114,990"
1990,ID,Total Electric Power Industry,Natural Gas,"55,714"
1990,ID,Total Electric Power Industry,Other,"65,203"
1990,ID,Total Electric Power Industry,Petroleum,994
1990,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,"410,203"
1990,IL,Total Electric Power Industry,Total,"129,392,471"
1990,IL,Total Electric Power Industry,Coal,"54,966,018"
1990,IL,Total Electric Power Industry,Hydroelectric Conventional,"143,926"
1990,IL,Total Electric Power Industry,Natural Gas,"1,419,891"
